number,value,datetime_start,datetime_complete,duration,params_class_weight_benign,params_dropout,params_learning_rate,params_scheduler_min_lr,params_weight_decay,user_attrs_best_val_accuracy,state
0,0.5825908982783163,2026-02-28 17:04:42.369215,2026-02-28 19:08:26.142710,0 days 02:03:43.773495,2.3986584841970364,0.19639878836228103,1.1844319751820392e-05,1.432249371823024e-07,0.018214744423753766,0.8421052631578947,COMPLETE
1,0.6188707717351223,2026-02-28 19:08:26.144806,2026-02-28 21:07:57.669075,0 days 01:59:31.524269,2.401115011743209,0.22323522915498706,7.160849144555761e-06,5.105903209394757e-07,0.0033494758473134414,0.8947368421052632,COMPLETE
2,0.4647682398472649,2026-02-28 21:07:57.671962,2026-03-01 00:09:42.078588,0 days 03:01:44.406626,2.012339110678276,0.21648852816008435,5.2426938625973105e-06,1.5199348301309797e-07,0.018890282808631323,0.9473684210526315,COMPLETE
3,0.6160773072195681,2026-03-01 00:09:42.080118,2026-03-01 05:02:10.598408,0 days 04:52:28.518290,2.231945018642116,0.15495128632644756,7.627364729026299e-06,1.955370866274525e-07,0.005343048274530413,0.7894736842105263,COMPLETE
