number,value,datetime_start,datetime_complete,duration,params_class_weight_benign,params_dropout,params_learning_rate,params_scheduler_factor,params_scheduler_patience,params_weight_decay,user_attrs_best_val_accuracy,state
0,0.4891718942586415,2026-02-25 20:03:36.402530,2026-02-25 21:42:09.476207,0 days 01:38:33.073677,2.697316968394073,0.4195981825434215,0.00018272261776066238,0.24679835610086082,2,0.0004463590152176814,0.7647058823529411,COMPLETE
1,0.40275547764373615,2026-02-25 21:42:09.479066,2026-02-25 23:15:05.653939,0 days 01:32:56.174873,2.916145155592091,0.3803345035229626,0.00010979908036596662,0.4909729556485983,2,0.00036740592026352257,0.8235294117647058,COMPLETE
2,0.35920022165074067,2026-02-25 23:15:05.655267,2026-02-26 00:38:37.631091,0 days 01:23:31.975824,1.8668090197068676,0.2545474901621302,0.0003818145165896873,0.35742692948967136,3,8.152843673110742e-05,0.8235294117647058,COMPLETE
3,0.4485787878614193,2026-02-26 00:38:37.632301,2026-02-26 02:08:31.681691,0 days 01:29:54.049390,1.7789877213040837,0.38355586841671385,0.0002004087187654155,0.3099085529881075,3,9.776854331372622e-05,0.8235294117647058,COMPLETE
4,0.6437116241497399,2026-02-26 02:08:31.690603,2026-02-26 03:04:07.376212,0 days 00:55:35.685609,2.5284688768272234,0.25990213464750794,0.000208343156115295,0.21393512381599933,4,0.0003048919554765758,,PRUNED
5,0.3150869778049074,2026-02-26 03:04:07.378256,2026-02-26 04:39:48.079989,0 days 01:35:40.701733,3.3977710745066663,0.21951547789558387,0.0002658616083788976,0.4425192044349383,5,7.404472559987598e-05,0.8823529411764706,COMPLETE
6,0.39197519797867514,2026-02-26 04:39:48.081163,2026-02-26 06:03:10.244118,0 days 01:23:22.162955,2.3803049874792026,0.40526990795364704,0.00016327356954687938,0.34855307303338107,2,6.260977143530197e-05,0.8235294117647058,COMPLETE
7,0.3707171804614036,2026-02-26 06:03:10.245469,2026-02-26 07:26:30.938200,0 days 01:23:20.692731,2.825044568707964,0.2776339944800051,0.00010569064414047033,0.35602040635334326,3,0.0004057797837985251,0.7647058823529411,COMPLETE
8,1.0516375398908338,2026-02-26 07:26:30.941149,2026-02-26 08:12:52.322318,0 days 00:46:21.381169,3.050265646722229,0.49087538832936756,0.00024106495902171608,0.46844820512829466,5,7.652872182750095e-05,,PRUNED
9,0.42222181305495565,2026-02-26 08:12:52.324174,2026-02-26 09:47:30.505987,0 days 01:34:38.181813,1.8919657248382904,0.22654775061557586,0.00026176655097040057,0.2975990992289793,2,0.0004176805377655882,0.8235294117647058,COMPLETE
