number,value,datetime_start,datetime_complete,duration,params_class_weight_benign,params_dropout,params_learning_rate,params_scheduler_min_lr,params_weight_decay,user_attrs_best_val_accuracy,state
0,0.439589697184601,2026-02-26 17:47:03.108161,2026-02-26 23:52:36.267217,0 days 06:05:33.159056,2.697316968394073,0.4195981825434215,0.00018272261776066238,2.05133826308745e-06,0.0004463590152176814,0.8947368421052632,COMPLETE
1,0.24022727689791618,2026-02-26 23:52:36.268898,2026-02-27 05:20:44.213366,0 days 05:28:07.944468,2.7022300234864174,0.45985284373248053,0.00012853916978930154,2.6070247583707675e-05,5.715491938156613e-05,0.8947368421052632,COMPLETE
2,0.45157504263548426,2026-02-27 05:20:44.215023,2026-02-27 09:41:05.845939,0 days 04:20:21.630916,1.9246782213565523,0.4497327922401265,0.00010336843570697407,2.310201887845294e-06,0.0004665303012212836,0.8947368421052632,COMPLETE
3,0.3987570666812596,2026-02-27 09:41:05.847422,2026-02-27 13:36:35.953029,0 days 03:55:30.105607,2.3638900372842313,0.35742692948967136,0.00013433656868034314,3.823475224675187e-06,0.00010074238942079329,0.9473684210526315,COMPLETE
