number,value,datetime_start,datetime_complete,duration,params_class_weight_benign,params_dropout,params_entropy_lambda,params_learning_rate,params_scheduler_min_lr,params_weight_decay,user_attrs_best_val_accuracy,state
0,0.3894489836434571,2026-02-28 17:15:29.596693,2026-02-28 18:17:29.301663,0 days 01:01:59.704970,1.9190609389379256,0.39639878836228104,2.0513382630874486e-05,2.368863950364079e-05,1.8408992080552497e-07,0.0007969454818643932,0.8947368421052632,COMPLETE
1,0.5045204266773095,2026-02-28 18:17:29.303056,2026-02-28 19:20:27.630112,0 days 01:02:58.327056,1.9956508044572319,0.37022300234864175,1.0994335574766187e-05,1.1430983876313214e-05,4.444754166690806e-06,0.0005399484409787432,0.8947368421052632,COMPLETE
2,0.35570704715865087,2026-02-28 19:20:27.631669,2026-02-28 20:45:52.582876,0 days 01:25:24.951207,1.6283831568974036,0.28636499344142013,4.059611610484306e-05,6.798962421591133e-05,7.790143126276235e-07,2.6587543983272695e-05,0.8947368421052632,COMPLETE
3,0.3844540803861727,2026-02-28 20:45:52.583909,2026-02-28 21:54:58.549928,0 days 01:09:05.966019,1.5976457024564292,0.3723705789444759,3.8396292998041685e-05,2.703616066662e-05,4.1921593504109734e-07,3.8234752246751835e-05,0.8947368421052632,COMPLETE
