number,value,datetime_start,datetime_complete,duration,params_batch_size,params_class_weight_benign,params_dropout,params_early_stopping,params_early_stopping_patience,params_embed_dim,params_learning_rate,params_max_slices_per_stain,params_per_slice_cap,params_scheduler_factor,params_scheduler_patience,params_scheduler_type,params_use_scheduler,params_weight_decay,state
0,0.5903948251815403,2026-02-10 18:40:19.196949,2026-02-10 23:33:47.207351,0 days 04:53:28.010402,1,4.46470458309974,0.1624074561769746,True,7,512,2.0511104188433963e-05,,200,0.3557975442608167,3,cosine,True,1.493656855461763e-06,COMPLETE
1,0.48148454013554487,2026-02-10 23:33:47.212037,2026-02-11 09:16:04.854347,0 days 09:42:17.642310,1,1.6820964947491661,0.33696582754481696,True,8,512,1.2385137298860926e-05,10.0,150,0.5650089137415928,3,reduce_on_plateau,True,6.647135865318028e-05,COMPLETE
2,0.7992928735911846,2026-02-11 09:16:04.860622,2026-02-11 11:36:02.059458,0 days 02:19:57.198836,1,4.687496940092467,0.4757995766256756,True,6,768,0.0006161049539380963,10.0,200,0.6947547746402069,5,reduce_on_plateau,True,6.218704727769077e-05,COMPLETE
3,0.5350830826689216,2026-02-11 11:36:02.066248,2026-02-11 15:48:20.980517,0 days 04:12:18.914269,1,1.4634762381005189,0.4085081386743783,True,7,512,1.4063366777718176e-05,20.0,50,0.5245108790277985,5,cosine,True,1.1895896737553539e-05,COMPLETE
4,0.5626955856295193,2026-02-11 15:48:20.987238,2026-02-11 17:40:27.076559,0 days 01:52:06.089321,1,3.034282764658811,0.11257167427469371,True,8,256,0.000187422109855557,20.0,50,0.3746280235544143,5,reduce_on_plateau,True,8.771380343280564e-06,COMPLETE
