case_id,stain,slice_idx,patch_idx,patch_attn_weight,slice_attn_weight,stain_attn_weight,effective_weight,true_label,pred_label
84,sox10,0,38,0.0077275848016142845,1.0,0.566127359867096,0.004374797181886991,1,1
84,sox10,0,89,0.007772269193083048,1.0,0.566127359867096,0.00440009423845647,1,1
84,sox10,0,52,0.007874088361859322,1.0,0.566127359867096,0.004457736855659644,1,1
84,sox10,0,88,0.00806504674255848,1.0,0.566127359867096,0.004565843619569354,1,1
84,sox10,0,126,0.00813436321914196,1.0,0.566127359867096,0.0046050855734528495,1,1
84,sox10,0,27,0.00816081091761589,1.0,0.566127359867096,0.004620058339164457,1,1
84,sox10,0,5,0.008181641809642315,1.0,0.566127359867096,0.004631851277071053,1,1
84,sox10,0,107,0.008227414451539516,1.0,0.566127359867096,0.004657764421982458,1,1
84,sox10,0,80,0.008232523687183857,1.0,0.566127359867096,0.004660656900068727,1,1
84,sox10,0,122,0.008404100313782692,1.0,0.566127359867096,0.004757791122700028,1,1
84,sox10,0,99,0.008413735777139664,1.0,0.566127359867096,0.004763246022131407,1,1
84,sox10,0,127,0.00847987737506628,1.0,0.566127359867096,0.004800690590342993,1,1
84,sox10,0,53,0.008519338443875313,1.0,0.566127359867096,0.004823030581045384,1,1
84,sox10,0,90,0.008546360768377781,1.0,0.566127359867096,0.004838328658273439,1,1
84,sox10,0,116,0.008585156872868538,1.0,0.566127359867096,0.004860292194481919,1,1
84,sox10,0,83,0.008771292865276337,1.0,0.566127359867096,0.004965668872439988,1,1
84,sox10,0,32,0.008790913969278336,1.0,0.566127359867096,0.004976776916246317,1,1
84,sox10,0,87,0.008910683915019035,1.0,0.566127359867096,0.005044581959419925,1,1
84,sox10,0,111,0.008946944959461689,1.0,0.566127359867096,0.005065110328776268,1,1
84,sox10,0,112,0.008983093313872814,1.0,0.566127359867096,0.005085574901222578,1,1
84,sox10,0,18,0.00912595633417368,1.0,0.566127359867096,0.005166453565728146,1,1
84,sox10,0,61,0.009149366058409214,1.0,0.566127359867096,0.005179706451104826,1,1
84,sox10,0,131,0.009193292818963528,1.0,0.566127359867096,0.005204574592084954,1,1
84,sox10,0,123,0.009537708014249802,1.0,0.566127359867096,0.0053995574572904825,1,1
84,sox10,0,75,0.009567403234541416,1.0,0.566127359867096,0.005416368733954846,1,1
84,sox10,0,129,0.009879854507744312,1.0,0.566127359867096,0.005593255948340314,1,1
84,sox10,0,51,0.009968810714781284,1.0,0.566127359867096,0.005643616490973946,1,1
84,sox10,0,0,0.010173930786550045,1.0,0.566127359867096,0.005759740575660144,1,1
84,sox10,0,22,0.010335881263017654,1.0,0.566127359867096,0.00585142517133197,1,1
84,sox10,0,110,0.01033987570554018,1.0,0.566127359867096,0.005853686534531388,1,1
84,sox10,0,72,0.010537837632000446,1.0,0.566127359867096,0.005965758197312543,1,1
84,sox10,0,94,0.01117619313299656,1.0,0.566127359867096,0.0063271487117481096,1,1
84,sox10,0,84,0.011183940805494785,1.0,0.566127359867096,0.006331534881124645,1,1
84,sox10,0,97,0.0114054623991251,1.0,0.566127359867096,0.0064569443160801265,1,1
84,sox10,0,98,0.011742249131202698,1.0,0.566127359867096,0.006647608499549484,1,1
84,sox10,0,29,0.011812734417617321,1.0,0.566127359867096,0.006687512148656871,1,1
84,sox10,0,40,0.011854125186800957,1.0,0.566127359867096,0.006710944595537671,1,1
84,sox10,0,133,0.01187569834291935,1.0,0.566127359867096,0.006723157749454978,1,1
84,sox10,0,49,0.011893953196704388,1.0,0.566127359867096,0.006733492321633061,1,1
84,sox10,0,134,0.011947830207645893,1.0,0.566127359867096,0.006763993571594906,1,1
84,sox10,0,71,0.012026655487716198,1.0,0.566127359867096,0.006808618719291892,1,1
84,sox10,0,132,0.012102164328098297,1.0,0.566127359867096,0.006851366339744036,1,1
84,sox10,0,74,0.012371828779578209,1.0,0.566127359867096,0.007004030763710367,1,1
84,sox10,0,30,0.012567408382892609,1.0,0.566127359867096,0.007114753728178602,1,1
84,sox10,0,121,0.012686526402831078,1.0,0.566127359867096,0.007182189698318964,1,1
84,sox10,0,96,0.013218262232840061,1.0,0.566127359867096,0.0074832198999086885,1,1
84,sox10,0,45,0.013318960554897785,1.0,0.566127359867096,0.007540227975118274,1,1
84,sox10,0,2,0.013823644258081913,1.0,0.566127359867096,0.007825943227569854,1,1
84,sox10,0,57,0.014410450123250484,1.0,0.566127359867096,0.008158150082772264,1,1
84,sox10,0,19,0.01606670953333378,1.0,0.566127359867096,0.009095803849857753,1,1
38,sox10,2,12,0.03594643995165825,0.17159219086170197,0.4613254964351654,0.0028455148892784178,1,1
38,sox10,2,17,0.03594643995165825,0.17159219086170197,0.4613254964351654,0.0028455148892784178,1,1
38,sox10,0,15,0.019481368362903595,0.31685328483581543,0.4613254964351654,0.002847640296064484,1,1
38,sox10,0,58,0.019503269344568253,0.31685328483581543,0.4613254964351654,0.002850841617283296,1,1
38,sox10,0,3,0.01951064169406891,0.31685328483581543,0.4613254964351654,0.0028519192520327476,1,1
38,h&e,4,1,0.07969312369823456,0.13586968183517456,0.27274349331855774,0.0029532336422411504,1,1
38,melan,4,6,0.056019749492406845,0.19976580142974854,0.26593098044395447,0.002975988434634053,1,1
38,sox10,0,28,0.02080577053129673,0.31685328483581543,0.4613254964351654,0.003041231470598867,1,1
38,sox10,0,50,0.020862234756350517,0.31685328483581543,0.4613254964351654,0.003049484987474786,1,1
38,sox10,3,21,0.04199574515223503,0.15835247933864594,0.4613254964351654,0.0030678746926981765,1,1
38,sox10,2,22,0.038776081055402756,0.17159219086170197,0.4613254964351654,0.003069508862057015,1,1
38,sox10,0,38,0.021137798205018044,0.31685328483581543,0.4613254964351654,0.0030897647853786324,1,1
38,sox10,0,59,0.021268388256430626,0.31685328483581543,0.4613254964351654,0.0031088534595282223,1,1
38,melan,4,5,0.05893972888588905,0.19976580142974854,0.26593098044395447,0.00313110917300063,1,1
38,sox10,0,17,0.02145315520465374,0.31685328483581543,0.4613254964351654,0.0031358613060685557,1,1
38,melan,3,15,0.09172917157411575,0.1286350041627884,0.26593098044395447,0.003137874507761433,1,1
38,sox10,3,5,0.043045543134212494,0.15835247933864594,0.4613254964351654,0.0031445645728200647,1,1
38,sox10,0,33,0.021514225751161575,0.31685328483581543,0.4613254964351654,0.00314478814046226,1,1
38,sox10,0,10,0.02213333733379841,0.31685328483581543,0.4613254964351654,0.0032352852276090753,1,1
38,sox10,0,12,0.02218673750758171,0.31685328483581543,0.4613254964351654,0.0032430908644539565,1,1
38,sox10,0,21,0.022222518920898438,0.31685328483581543,0.4613254964351654,0.0032483211230534947,1,1
38,sox10,0,44,0.02262065000832081,0.31685328483581543,0.4613254964351654,0.0033065169390013504,1,1
38,sox10,0,18,0.022936688736081123,0.31685328483581543,0.4613254964351654,0.003352713109594836,1,1
38,sox10,0,41,0.024865195155143738,0.31685328483581543,0.4613254964351654,0.003634607712060184,1,1
38,sox10,0,19,0.025078605860471725,0.31685328483581543,0.4613254964351654,0.0036658024881551085,1,1
38,sox10,0,52,0.02533717267215252,0.31685328483581543,0.4613254964351654,0.0037035978451573004,1,1
38,melan,3,9,0.10831233114004135,0.1286350041627884,0.26593098044395447,0.0037051517737292598,1,1
38,melan,4,2,0.06995944678783417,0.19976580142974854,0.26593098044395447,0.0037165197349233246,1,1
38,melan,4,7,0.07099267095327377,0.19976580142974854,0.26593098044395447,0.0037714086481118684,1,1
38,melan,4,9,0.07149641960859299,0.19976580142974854,0.26593098044395447,0.003798169749076728,1,1
38,sox10,2,20,0.04849650710821152,0.17159219086170197,0.4613254964351654,0.0038389763559338653,1,1
38,sox10,2,18,0.048737477511167526,0.17159219086170197,0.4613254964351654,0.0038580515375209396,1,1
38,sox10,0,45,0.02648582123219967,0.31685328483581543,0.4613254964351654,0.003871498675564841,1,1
38,melan,4,12,0.07394514977931976,0.19976580142974854,0.26593098044395447,0.0039282558835855965,1,1
38,melan,4,11,0.07791237533092499,0.19976580142974854,0.26593098044395447,0.004139010438294238,1,1
38,sox10,2,13,0.05299731343984604,0.17159219086170197,0.4613254964351654,0.0041952595218787535,1,1
38,melan,4,4,0.08220776915550232,0.19976580142974854,0.26593098044395447,0.004367198576584169,1,1
38,sox10,4,1,0.05318383872509003,0.2044241726398468,0.4613254964351654,0.005015559505153968,1,1
38,melan,4,1,0.0950569286942482,0.19976580142974854,0.26593098044395447,0.005049796241310582,1,1
38,sox10,4,2,0.05460486188530922,0.2044241726398468,0.4613254964351654,0.00514957063314197,1,1
38,sox10,4,6,0.057261671870946884,0.2044241726398468,0.4613254964351654,0.005400123975967271,1,1
38,sox10,4,11,0.05842610448598862,0.2044241726398468,0.4613254964351654,0.0055099370547236305,1,1
38,melan,4,0,0.10689429193735123,0.19976580142974854,0.26593098044395447,0.005678643325191452,1,1
38,sox10,4,7,0.07357250154018402,0.2044241726398468,0.4613254964351654,0.006938334431353146,1,1
38,sox10,2,0,0.09318894892930984,0.17159219086170197,0.4613254964351654,0.007376823464330983,1,1
38,sox10,4,12,0.07932957261800766,0.2044241726398468,0.4613254964351654,0.007481261253831707,1,1
38,sox10,4,0,0.08057930320501328,0.2044241726398468,0.4613254964351654,0.007599118450205548,1,1
38,sox10,4,5,0.08092851936817169,0.2044241726398468,0.4613254964351654,0.007632051658647614,1,1
38,sox10,4,10,0.08222872018814087,0.2044241726398468,0.4613254964351654,0.007754668504996633,1,1
38,sox10,4,8,0.08442674577236176,0.2044241726398468,0.4613254964351654,0.007961955688016572,1,1
38,sox10,4,4,0.09756612032651901,0.2044241726398468,0.4613254964351654,0.009201078634322289,1,1
38,sox10,4,9,0.09769265353679657,0.2044241726398468,0.4613254964351654,0.009213011485743671,1,1
38,sox10,4,3,0.10019927471876144,0.2044241726398468,0.4613254964351654,0.009449401110795185,1,1
23,sox10,0,98,0.006902801804244518,1.0,0.6791833639144897,0.004688268149841801,0,1
