number,value,datetime_start,datetime_complete,duration,params_class_weight_benign,params_classifier_dropout,params_learning_rate,params_project_dropout,params_weight_decay,user_attrs_best_val_accuracy,state
0,0.3889668122987802,2026-03-01 19:44:29.114844,2026-03-01 20:20:11.441145,0 days 00:35:42.326301,1.812037280884873,0.1397987726295555,5.6115164153345e-05,0.15979909127171077,0.0071144760093434225,0.9473684210526315,COMPLETE
1,0.4724627789906471,2026-03-01 20:20:11.442741,2026-03-01 20:56:05.918025,0 days 00:35:54.475284,2.916145155592091,0.14016725176148134,2.0511104188433963e-05,0.1799264218662403,1.493656855461762e-05,0.8947368421052632,COMPLETE
2,0.36029532006317533,2026-03-01 20:56:05.919253,2026-03-01 22:46:23.667921,0 days 01:50:17.748668,1.8636499344142012,0.08185086660174143,1.0994335574766187e-05,0.17486639612006327,0.008123245085588688,0.8947368421052632,COMPLETE
3,0.46998599230152505,2026-03-01 22:46:23.669865,2026-03-02 04:14:56.674902,0 days 05:28:33.005037,2.082458280396084,0.11479175279631737,2.3270677083837777e-05,0.1287134647448357,8.17949947521167e-05,0.8947368421052632,COMPLETE
