number,value,datetime_start,datetime_complete,duration,params_class_weight_benign,params_classifier_dropout,params_coeff_dropout,params_entropy_coeff,params_learning_rate,params_weight_decay,user_attrs_best_epoch,user_attrs_best_val_accuracy,state
0,0.35982590470709563,2026-02-28 01:55:49.355386,2026-02-28 05:56:41.867512,0 days 04:00:52.512126,1.624074561769746,0.2993292420985183,0.36599697090570255,0.07799726016810132,5.6115164153345e-05,0.0007114476009343421,8.0,0.8235294117647058,COMPLETE
1,0.18502662651264792,2026-02-28 05:56:42.031429,2026-02-28 06:31:14.536156,0 days 00:34:32.504727,1.0823379771832098,0.35403628889802274,0.3005575058716044,0.48495492608099716,1.3066739238053272e-05,0.0003967605077052988,29.0,0.9411764705882353,COMPLETE
2,0.35737079277853756,2026-02-28 06:31:14.695938,2026-02-28 07:05:22.482170,0 days 00:34:07.786232,2.216968971838151,0.09170225492671691,0.09091248360355031,0.2623782158161189,0.000462258900102083,4.335281794951567e-06,4.0,0.8823529411764706,COMPLETE
3,0.31699769105762243,2026-02-28 07:05:22.632517,2026-02-28 07:38:30.989825,0 days 00:33:08.357308,2.1685785941408726,0.06974693032602092,0.30592644736118974,0.18318092164684585,7.309539835912905e-05,7.4763120622522945e-06,3.0,0.8235294117647058,COMPLETE
4,0.3523524897515445,2026-02-28 07:38:31.138181,2026-02-28 08:14:15.083076,0 days 00:35:43.944895,3.36965827544817,0.2571172192068058,0.09983689107917987,0.023225206359998862,8.168455894760161e-05,0.0002267398652378039,4.0,0.7647058823529411,COMPLETE
5,0.38112598679521503,2026-02-28 08:14:15.240255,2026-02-28 08:48:53.459709,0 days 00:34:38.219454,4.862528132298237,0.4744427686266666,0.03252579649263976,0.40419867405823057,0.000164092867306479,3.247673570627449e-06,2.0,0.7647058823529411,COMPLETE
6,0.3196647779139526,2026-02-28 08:48:53.619231,2026-02-28 11:52:42.989919,0 days 03:03:49.370688,1.4881529393791153,0.22007624686980065,0.34211651325607845,0.2475884550556351,4.066563313514796e-05,1.9634341572933354e-06,7.0,0.8235294117647058,COMPLETE
7,0.45105768389561596,2026-02-28 11:52:43.155070,2026-02-28 13:11:48.350995,0 days 01:19:05.195925,2.246844304357644,0.331261142176991,0.12938999080000846,0.2600340105889054,1.1715937392307055e-05,0.0005345166110646819,,,PRUNED
8,0.23423526333371067,2026-02-28 13:11:48.513196,2026-02-28 13:57:37.980469,0 days 00:45:49.467273,4.757995766256757,0.3875664116805573,0.4847923138822793,0.4474136752138244,0.00012399967836846095,3.5856126103453987e-06,4.0,0.9411764705882353,COMPLETE
9,0.36804167290136,2026-02-28 13:57:38.140499,2026-02-28 14:36:25.105417,0 days 00:38:46.964918,1.1809091556421523,0.0979914312095726,0.04424625102595975,0.16266516538163217,0.0001569639638866114,0.0005829384542994739,4.0,0.7647058823529411,COMPLETE
10,0.4851333218462327,2026-02-28 14:36:25.259894,2026-02-28 14:46:52.209652,0 days 00:10:26.949758,3.5603540098702253,0.46631385608424547,0.21498859925243313,0.36659917220226035,1.0991587445851024e-05,5.5627721524280035e-05,,,PRUNED
11,0.32512633617529096,2026-02-28 14:46:52.361946,2026-02-28 15:59:39.026471,0 days 01:12:46.664525,4.969555436367597,0.3692027723625104,0.4734809381950747,0.47290485998685655,0.0004531811936002592,1.896339336283522e-05,2.0,0.8823529411764706,COMPLETE
12,0.12820468937827492,2026-02-28 15:59:39.188315,2026-02-28 17:53:45.876293,0 days 01:54:06.687978,4.160322358622171,0.3930373854314628,0.493388667319079,0.4990497566649651,2.7528862695812924e-05,4.044574059404959e-05,30.0,0.9411764705882353,COMPLETE
13,0.17370123932521572,2026-02-28 17:53:46.044406,2026-02-28 18:30:46.111807,0 days 00:37:00.067401,4.06249620315476,0.17284687262413329,0.41894239212959644,0.3656332702262557,2.3045480242192422e-05,8.661025596666064e-05,30.0,0.8823529411764706,COMPLETE
14,0.16459035265656627,2026-02-28 18:30:46.261588,2026-02-28 19:05:48.091812,0 days 00:35:01.830224,3.8912948932249707,0.1713996441331581,0.4115977357137003,0.3635483377968737,2.6343247572182852e-05,6.984996524963569e-05,30.0,0.8823529411764706,COMPLETE
15,0.23924133385298774,2026-02-28 19:05:48.242238,2026-02-28 20:06:23.570873,0 days 01:00:35.328635,4.191979476316069,0.16528983399266295,0.42234421115432685,0.3223368426340428,2.8335944981448434e-05,1.9917665261608496e-05,25.0,0.8823529411764706,COMPLETE
16,0.2868746629101224,2026-02-28 20:06:23.719970,2026-02-28 20:41:29.074689,0 days 00:35:05.354719,4.122676071774373,0.003742604877374184,0.22268628557257097,0.41781794794494886,2.4387511156639343e-05,0.00013232978069574344,30.0,0.7647058823529411,COMPLETE
17,0.35825366022832256,2026-02-28 20:41:29.229502,2026-02-28 21:17:14.444476,0 days 00:35:45.214974,2.7260601951453904,0.4191800944031844,0.41023612659334596,0.32856717155614446,4.034891326267267e-05,4.3056188557591154e-05,7.0,0.7647058823529411,COMPLETE
18,0.19576069422627745,2026-02-28 21:17:14.617835,2026-02-28 21:52:35.763483,0 days 00:35:21.145648,3.682180570419546,0.26742594791677693,0.49280021911149663,0.488633232797539,1.8015596595059304e-05,1.2753314497190727e-05,30.0,0.8823529411764706,COMPLETE
19,0.3392295514521025,2026-02-28 21:52:35.934786,2026-02-28 22:27:48.005825,0 days 00:35:12.071039,3.0481164151849183,0.19754756737600432,0.44076364763662895,0.41894888901127714,0.0002589960189233907,0.00015020028777645522,4.0,0.8235294117647058,COMPLETE
