number,value,datetime_start,datetime_complete,duration,params_class_weight_benign,params_classifier_dropout,params_entropy_lambda,params_learning_rate,params_patch_proj_dropout,params_weight_decay,user_attrs_best_val_accuracy,state
0,0.3828669788413926,2026-02-27 16:56:26.684402,2026-02-27 17:37:23.414148,0 days 00:40:56.729746,1.812037280884873,0.379597545259111,0.00020511104188433984,0.00018272261776066238,0.4195981825434215,0.0004463590152176814,0.8421052631578947,COMPLETE
1,0.259971410008515,2026-02-27 17:37:23.416895,2026-02-27 18:26:14.978654,0 days 00:48:51.561759,1.541168988591605,0.4124217733388137,0.008706020878304856,0.00010979908036596662,0.3803345035229626,0.00036740592026352257,0.8947368421052632,COMPLETE
2,0.21973295171541676,2026-02-27 18:26:14.980404,2026-02-27 20:24:47.546449,0 days 01:58:32.566045,2.1084844859190754,0.2550213529560302,0.0011207606211860567,0.0003818145165896873,0.2545474901621302,8.152843673110742e-05,0.9473684210526315,COMPLETE
3,0.32625112137965645,2026-02-27 20:24:47.548666,2026-02-27 23:00:49.509023,0 days 02:36:01.960357,2.0842892970704363,0.24184815819561256,0.0005404103854647331,0.0002004087187654155,0.38355586841671385,9.776854331372622e-05,0.9473684210526315,COMPLETE
4,0.6487650153100079,2026-02-27 23:00:49.510464,2026-02-27 23:26:35.972716,0 days 00:25:46.462252,2.684829137724085,0.3542703315240835,0.0001238513729886094,0.000208343156115295,0.25990213464750794,0.0003048919554765758,,PRUNED
5,0.9420226955231783,2026-02-27 23:26:35.975238,2026-02-27 23:53:10.236931,0 days 00:26:34.261693,3.4312640661491187,0.48466566117599996,0.004138040112561018,0.0002658616083788976,0.21951547789558387,7.404472559987598e-05,,PRUNED
6,0.6177965261111263,2026-02-27 23:53:10.238357,2026-02-28 00:23:35.317922,0 days 00:30:25.079565,1.7440764696895577,0.33204574812188037,0.0009780337016659412,0.00016327356954687938,0.40526990795364704,6.260977143530197e-05,,PRUNED
7,0.2948385199184294,2026-02-28 00:23:35.320413,2026-02-28 01:08:30.762049,0 days 00:44:55.441636,2.123422152178822,0.39875668530619457,0.001096821720752952,0.00010569064414047033,0.2776339944800051,0.0004057797837985251,0.9473684210526315,COMPLETE
8,0.19133770128931324,2026-02-28 01:08:30.763545,2026-02-28 03:05:04.537386,0 days 01:56:33.773841,3.3789978831283785,0.43253984700833437,0.006161049539380964,0.00024106495902171608,0.49087538832936756,7.652872182750095e-05,0.9473684210526315,COMPLETE
9,0.84645187972046,2026-02-28 03:05:04.538752,2026-02-28 04:21:10.156899,0 days 01:16:05.618147,1.5904545778210761,0.2587948587257436,0.0004473636174621269,0.00026176655097040057,0.22654775061557586,0.0004176805377655882,,PRUNED
10,1.1088170371557928,2026-02-28 04:21:10.158219,2026-02-28 05:45:26.627052,0 days 01:24:16.468833,3.4677484322923893,0.48334974364366934,0.003764308352127463,0.0004577434034785652,0.4908611332363598,0.00014869532887853696,,PRUNED
11,1.1170523964627421,2026-02-28 05:45:26.628336,2026-02-28 06:25:20.763478,0 days 00:39:54.135142,2.8367452289253547,0.20395301973900215,0.0024792013326598596,0.0004031182422159851,0.30361109514667206,0.0001139682934307011,,PRUNED
12,0.5262533366981412,2026-02-28 06:25:20.764838,2026-02-28 07:04:20.747352,0 days 00:38:59.982514,3.023561065549591,0.3015822356339812,0.009916425371524094,0.00036138321551140923,0.48739285247229314,5.6280961101412895e-05,,PRUNED
13,0.7816275206799362,2026-02-28 07:04:20.749556,2026-02-28 07:41:55.958108,0 days 00:37:35.208552,2.3522650998015537,0.43725073946638365,0.0020200513082957805,0.00030196886880023765,0.32755999899611954,0.00021808243011403464,,PRUNED
14,0.5187080081223987,2026-02-28 07:41:55.959522,2026-02-28 08:25:59.314579,0 days 00:44:03.355057,3.0505172946268737,0.3028397864798949,0.0010981526649444693,0.00014877879548382485,0.44604826478881676,8.641946713626295e-05,,PRUNED
15,1.0022061738703765,2026-02-28 08:25:59.315880,2026-02-28 09:07:47.852247,0 days 00:41:48.536367,2.3828518712373743,0.449235290286529,0.005642672890400444,0.0004994872054273084,0.3490285746428957,0.00013058539668348815,,PRUNED
16,0.2771507979540681,2026-02-28 09:07:47.853537,2026-02-28 11:25:23.815079,0 days 02:17:35.961542,2.103636413520257,0.26312882844160235,0.00037010665529847535,0.0003345273630188519,0.4509175041078977,5.152274569460567e-05,0.8947368421052632,COMPLETE
17,0.20678417342435856,2026-02-28 11:25:23.817938,2026-02-28 13:28:05.948617,0 days 02:02:42.130679,3.1966657650511854,0.33818549076092047,0.0017137857837281594,0.0002487984403391172,0.2962550535859451,0.00021306415068440414,0.9473684210526315,COMPLETE
18,0.41667666321662084,2026-02-28 13:28:05.950192,2026-02-28 13:53:53.976519,0 days 00:25:48.026327,3.220745076939019,0.3558434749769342,0.0019263008322842764,0.0002584684477024597,0.31242168862870295,0.00021847304552722252,,PRUNED
19,0.40955154974735825,2026-02-28 13:53:53.979308,2026-02-28 14:21:42.044935,0 days 00:27:48.065627,3.2453000440508246,0.43971160650398605,0.0055013758963896936,0.00023717050026750137,0.3604578837404929,0.00020790703847281411,,PRUNED
