number,value,datetime_start,datetime_complete,duration,params_class_weight_benign,params_dropout,params_learning_rate,params_scheduler_min_lr,params_weight_decay,user_attrs_best_val_accuracy,state
0,0.3990427455435948,2026-02-27 22:53:15.375162,2026-02-27 23:28:33.776619,0 days 00:35:18.401457,2.9966462104925915,0.39279757672456206,5.6115164153345e-05,2.938027938703532e-07,0.0071144760093434225,0.8421052631578947,COMPLETE
1,0.5402231738247026,2026-02-27 23:28:33.778561,2026-02-28 00:01:57.250520,0 days 00:33:23.471959,3.002787529358022,0.4464704583099741,2.0511104188433963e-05,1.3311216080736884e-05,1.493656855461762e-05,0.8947368421052632,COMPLETE
2,0.3971956886199989,2026-02-28 00:01:57.251838,2026-02-28 00:37:10.595355,0 days 00:35:13.343517,2.0308477766956905,0.4329770563201687,1.0994335574766187e-05,3.511356313970404e-07,0.008123245085588688,0.8947368421052632,COMPLETE
3,0.4359297206024884,2026-02-28 00:37:10.596380,2026-02-28 01:11:50.732856,0 days 00:34:40.136476,2.5798625466052894,0.3099025726528951,2.3270677083837777e-05,7.476312062252299e-07,8.17949947521167e-05,0.8947368421052632,COMPLETE
