number,value,datetime_start,datetime_complete,duration,params_class_weight_benign,params_dropout,params_entropy_lambda,params_learning_rate,params_scheduler_min_lr,params_weight_decay,user_attrs_best_val_accuracy,state
0,0.34849489902415753,2026-02-26 20:38:54.103895,2026-02-27 03:22:15.974435,0 days 06:43:21.870540,2.697316968394073,0.4195981825434215,0.015601864044243652,0.00018272261776066238,2.0511104188433975e-06,0.0004463590152176814,0.8947368421052632,COMPLETE
1,0.28055625863115846,2026-02-27 03:22:15.976246,2026-02-27 08:04:55.575467,0 days 04:42:39.599221,2.916145155592091,0.3803345035229626,0.0020584494295802446,0.00010979908036596662,8.706020878304853e-05,0.00036740592026352257,0.8947368421052632,COMPLETE
2,0.511288064734177,2026-02-27 08:04:55.576809,2026-02-27 13:18:50.311127,0 days 05:13:54.734318,1.8668090197068676,0.2545474901621302,0.030424224295953775,0.0003818145165896873,1.120760621186056e-05,8.152843673110742e-05,0.7894736842105263,COMPLETE
3,0.4172177658233193,2026-02-27 13:18:50.314030,2026-02-27 14:56:53.377638,0 days 01:38:03.063608,1.7789877213040837,0.38355586841671385,0.029214464853521818,0.0002004087187654155,5.404103854647334e-06,9.776854331372622e-05,0.9473684210526315,COMPLETE
