number,value,datetime_start,datetime_complete,duration,params_class_weight_benign,params_dropout,params_entropy_lambda,params_learning_rate,params_scheduler_min_lr,params_weight_decay,user_attrs_best_val_accuracy,state
0,0.36711606308534445,2026-02-27 22:54:36.237769,2026-02-27 23:31:23.353860,0 days 00:36:47.116091,2.9966462104925915,0.39279757672456206,4.207988669606632e-05,5.6115164153345e-05,2.937538457632828e-07,0.0071144760093434225,0.8947368421052632,COMPLETE
1,0.4900859795544468,2026-02-27 23:31:23.356105,2026-02-28 00:07:05.562541,0 days 00:35:42.206436,3.2701814444901136,0.34044600469728353,1.2087541473056957e-05,1.3066739238053272e-05,8.123245085588692e-05,0.003967605077052989,0.8947368421052632,COMPLETE
2,0.39855747298533456,2026-02-28 00:07:05.564081,2026-02-28 00:44:14.036136,0 days 00:37:08.472055,1.9585112746335844,0.17272998688284025,0.00016480446427978953,0.000462258900102083,3.7520558551242797e-06,4.335281794951564e-05,0.8947368421052632,COMPLETE
3,0.3245035992371605,2026-02-28 00:44:14.037511,2026-02-28 01:19:15.979586,0 days 00:35:01.942075,1.8487346516301046,0.34474115788895177,0.00014742753159914678,7.309539835912905e-05,1.2562773503807019e-06,7.476312062252303e-05,0.9473684210526315,COMPLETE
